feature,importance,importance_std
value_std,0.18166630089932184,0.01783111736629462
laplacian_var,0.17856252019939967,0.018418490058714786
white_area_ratio,0.14657043907196193,0.01878459153083941
saturation_mean,0.14403804045815863,0.01708208185672588
saturation_std,0.13521498689855188,0.019502390458814564
brightness_std,0.12608342091496927,0.018411136894939426
lab_b_mean,0.10411748113420982,0.01605179280367481
red_green_diff,0.08952368175049272,0.013512905045998377
specular_highlight_ratio,0.08745669634474472,0.015521177431967062
lab_a_mean,0.06287493304311279,0.007864591776891758
red_blue_diff,0.05200452263232963,0.0155224387715562
hue_mean,0.04267398219790056,0.00390893094617963
value_mean,0.021167020430538773,0.011887097254715814
green_mean,0.01660494481297644,0.005885388872994969
brightness_mean,0.014573461942053178,0.004026315009479967
blue_mean,0.012216444346405342,0.005932453824216855
lab_l_mean,0.008498288712950875,0.005164814393447034
red_mean,0.007832812311454574,0.005750387959177457
warm_area_ratio,0.002755033367479376,0.003267878094276905
frame_diff_score,0.0006204977251314192,0.004518889159219326
dark_area_ratio,0.0,0.0
edge_density,-0.006265092602724653,0.0137861746039311
