epoch,run_name,model_name,lr,epoch_time_s,val_active_brazing_f1,val_active_brazing_recall,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,resnet18_10fps_balanced,resnet18,0.0003,58.22410273551941,0.6052631578947368,1.0,0.2794770515264116,0.9150304083405734,0.8655463380068231,0.9195966273990804,0.6754638863143559,0.8175985334555453,0.5471345652590719,0.7998960361513061
2,resnet18_10fps_balanced,resnet18,0.0003,57.54010081291199,0.8616600790513834,0.7898550724637681,0.1266564941608212,0.9661164205039097,0.942624473320548,0.9668780154570865,0.23062946739662898,0.8707607699358387,0.8269865075742078,0.8860354854450105
3,resnet18_10fps_balanced,resnet18,0.0003,57.49835777282715,0.5375494071146245,0.9855072463768116,0.09160448755085028,0.9744569939183318,0.9555852619214935,0.97504788400298,0.6342844826401502,0.769019248395967,0.6727251936854596,0.7924942603554983
4,resnet18_10fps_balanced,resnet18,0.0003,56.97141170501709,0.6890243902439024,0.8188405797101449,0.08180154210116737,0.98123370981755,0.9659386879374056,0.9814673137115725,0.2560579933643566,0.8652612282309807,0.7225553061647085,0.8627216956686473
5,resnet18_10fps_balanced,resnet18,0.0003,57.27775716781616,0.8098159509202454,0.9565217391304348,0.05560014064267575,0.9831450912250217,0.970439898481052,0.9834182866645228,0.24389174024896282,0.921173235563703,0.8265416922035697,0.9190662408198592
6,resnet18_10fps_balanced,resnet18,0.0003,57.47876739501953,0.6356164383561644,0.8405797101449275,0.055938737330186325,0.9854039965247611,0.97467122021227,0.9855602546710553,0.38756593912455617,0.8258478460128322,0.6495245892641037,0.8267251575653828
7,resnet18_10fps_balanced,resnet18,0.00015,57.741564989089966,0.7542372881355932,0.644927536231884,0.048634037578706636,0.9887054735013032,0.9788130385682179,0.9887858385513612,0.3432702812572982,0.8909257561869844,0.8270137658148444,0.9012831037893959
8,resnet18_10fps_balanced,resnet18,0.00015,57.541971921920776,0.7962382445141066,0.9202898550724637,0.03166107236416598,0.9933970460469157,0.9879017778787617,0.9934310666509019,0.3271299021704401,0.8735105407882676,0.8050717925849322,0.8827512499009794
9,resnet18_10fps_balanced,resnet18,0.00015,57.08981156349182,0.8238993710691824,0.9492753623188406,0.024709144987210028,0.9937445699391834,0.9879000538119423,0.9937757301460524,0.27346648733097123,0.9028414298808433,0.8277869204279972,0.9078222660999871
10,resnet18_10fps_balanced,resnet18,0.00015,57.07963275909424,0.7859237536656891,0.9710144927536232,0.03128757457484327,0.991485664639444,0.9851149196919875,0.9915467949680868,0.24800876049441392,0.9065077910174152,0.806900469046233,0.9071391951225698
11,resnet18_10fps_balanced,resnet18,0.00015,57.1243736743927,0.8270042194092827,0.7101449275362319,0.024157710964520414,0.9918331885317115,0.9852202884635447,0.9918880047744032,0.15039290055511695,0.9340054995417049,0.8753577545335594,0.9338357888159057
12,resnet18_10fps_balanced,resnet18,0.00015,57.58270072937012,0.90625,0.8405797101449275,0.022598494523929855,0.9940920938314509,0.9893103453071649,0.9941224782382619,0.13911791734968712,0.9532538955087076,0.919862516239195,0.9558085124693173
13,resnet18_10fps_balanced,resnet18,0.00015,57.371459007263184,0.8192771084337349,0.7391304347826086,0.011850408918477537,0.9966985230234578,0.9937168438423523,0.9967098773608202,0.15235120311746525,0.9404216315307058,0.8861116071934882,0.9428005547498461
14,resnet18_10fps_balanced,resnet18,0.00015,56.95302391052246,0.8,0.8405797101449275,0.020005444076691442,0.9961772371850565,0.9929359826761304,0.9961999699197847,0.19598356176477277,0.923006416131989,0.844372647330018,0.9241531341318522
15,resnet18_10fps_balanced,resnet18,0.00015,57.56147122383118,0.8102893890675241,0.9130434782608695,0.02616394627863601,0.9942658557775848,0.9893144331491929,0.994283867027383,0.326765030674341,0.854262144821265,0.7813092716875952,0.8676978602869944
16,resnet18_10fps_balanced,resnet18,0.00015,57.17844343185425,0.8205128205128205,0.6956521739130435,0.02109771136196086,0.9947871416159861,0.9906531556388803,0.9948002768907332,0.1834595806918649,0.9440879926672777,0.8923609093029685,0.945950717738142
17,resnet18_10fps_balanced,resnet18,7.5e-05,57.34621071815491,0.7803468208092486,0.9782608695652174,0.019784078678332852,0.9958297132927889,0.9921889997487892,0.9958451663677136,0.17132378917766167,0.9138405132905592,0.8060858210290143,0.9119854602509123
18,resnet18_10fps_balanced,resnet18,7.5e-05,57.39690566062927,0.7971014492753623,0.7971014492753623,0.016942440231066103,0.9966985230234578,0.9942413395573029,0.9967023640485791,0.1842566837202826,0.923006416131989,0.855902550878546,0.9265847274730405
19,resnet18_10fps_balanced,resnet18,7.5e-05,57.106689453125,0.8856088560885609,0.8695652173913043,0.008947317824406885,0.9968722849695917,0.9943677053343853,0.9968832906910012,0.1702285701030299,0.9275893675527039,0.8859035577488361,0.9334397566586687
20,resnet18_10fps_balanced,resnet18,7.5e-05,57.16763639450073,0.862876254180602,0.9347826086956522,0.007264426625101351,0.9991311902693311,0.9980796817392731,0.9991320077134118,0.14741927441003613,0.9395050412465628,0.8855054156411911,0.9416447457338802
