min_confirm_frames,window_size,accuracy,macro_f1,weighted_f1,flux_activation_f1,active_brazing_f1,active_brazing_recall
3,7,0.8493071593533488,0.8083329902804284,0.8714485571980656,0.5288270377733598,0.8504398826979472,0.7397959183673469
3,10,0.8493071593533488,0.8083329902804284,0.8714485571980656,0.5288270377733598,0.8504398826979472,0.7397959183673469
3,15,0.8493071593533488,0.8083329902804284,0.8714485571980656,0.5288270377733598,0.8504398826979472,0.7397959183673469
3,20,0.8493071593533488,0.8083329902804284,0.8714485571980656,0.5288270377733598,0.8504398826979472,0.7397959183673469
3,5,0.8481524249422633,0.8064641448983951,0.8703091128823189,0.5288270377733598,0.8454810495626822,0.7397959183673469
5,10,0.8452655889145496,0.8006963407613203,0.8684857147606301,0.5119047619047619,0.8352941176470589,0.7244897959183674
5,15,0.8452655889145496,0.8006963407613203,0.8684857147606301,0.5119047619047619,0.8352941176470589,0.7244897959183674
5,20,0.8452655889145496,0.8006963407613203,0.8684857147606301,0.5119047619047619,0.8352941176470589,0.7244897959183674
5,7,0.8441108545034642,0.7988427447260225,0.8673516482583392,0.5119047619047619,0.8304093567251462,0.7244897959183674
5,5,0.8458429561200924,0.7935503018331558,0.8682770698209572,0.5149700598802395,0.7987987987987988,0.6785714285714286
7,15,0.8412240184757506,0.7916211528222465,0.8654478052793386,0.49504950495049505,0.8130563798219584,0.6989795918367347
7,20,0.8412240184757506,0.7916211528222465,0.8654478052793386,0.49504950495049505,0.8130563798219584,0.6989795918367347
7,10,0.8394919168591224,0.7882249800873349,0.8640084084989368,0.4921259842519685,0.8023952095808383,0.6836734693877551
7,7,0.8423787528868361,0.7869369708499704,0.8657409630779579,0.499001996007984,0.7867867867867868,0.6683673469387755
10,15,0.8354503464203233,0.779953568892411,0.8611871512077,0.47035573122529645,0.7880597014925373,0.673469387755102
10,20,0.8354503464203233,0.779953568892411,0.8611871512077,0.47035573122529645,0.7880597014925373,0.673469387755102
10,10,0.8285219399538106,0.759063555035381,0.8542841592840703,0.46124031007751937,0.710691823899371,0.576530612244898
15,20,0.8215935334872979,0.7537901962881894,0.8497386723334812,0.42829076620825146,0.7289156626506024,0.6173469387755102
15,15,0.8163972286374134,0.7359115418597271,0.8440651824920269,0.42248062015503873,0.660377358490566,0.5357142857142857
